Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in the city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,What is the area code of your phone number? ,What pet(s) did you have as a child?,"If you had to have one superpower, what would if be?",How many different pairs of shoes have you worn in the last week?
8/27/2018 16:28:13,Ariana Grande,5'8,beijing,,anywhere that has a beach and fresh sea food,4.0,pizza,football,hors d'oeuvre,6-10,Less,2015,,,,,
8/27/2018 16:57:16,Panic! at the Disco,"5'6""","Santorini, Greece ",Dr Marian Diamond,"Nice, France",1.0,no opinion,Tennis,lieutenant,5,More,2038,"""They used to say that if Man was meant to fly, he'd have wings. But he did fly. He discovered he had to."" ",,,,
8/27/2018 17:00:14,Khalid,5’ 7”,Asheville North Carolina ,Barack Obama ,Italy ,4.0,pizza,Football ,lieutenant,7,More,1945,“A ship in the harbor is safe but that’s not what ships are made for” ,,,,
8/27/2018 17:59:23,"Elton John, famous singer/songwriter because he creates great music.",6'7,Boston,Chris Sale,The Bahamas,5.0,pizza,Football ,daiquiri,6,Less,1985 (Bears SuperBowl),"""If you ain't first, you're last"" -Reese Bobby",,,,
8/27/2018 19:17:06,Travis Scott,5'10,St. Lucia,W.E.B DuBois,Lake Retba,5.0,no opinion,Gymnastics,lieutenant,4,Less,1980's,"""It always seems impossible until it's done."" - Nelson Mandela",,,,
8/27/2018 19:42:27,Rush,Shorter,"Bergen, Norway",Anastasia Romanov,Siberia,5.0,casserole,Competitive Darts,lieutenant,2,More,"October 21, 2015",Hang in there,,,,
8/27/2018 21:03:41,Carrie Underwood,"5'5""",Barcelona,Melissa Benoist ,Barcelona ,4.0,pizza,Soccer,hors d'oeuvre,4,Less,1925,"Happiness can be found, even in the darkest of times, if one only remembers to turn on the light.",,,,
8/27/2018 23:07:00,Aminè,5’3”,Portland,Jeffery Dahmer ,Fiji,5.0,pizza,Puppy super bowl,hors d'oeuvre,4,More,1969,Take what you can get and give nothing back ,,,,
8/28/2018 11:09:19,Drake,6'4,Los Angeles,,,5.0,no opinion,Basketball and track ,daiquiri,5,More,,,,,,
8/28/2018 13:19:47,Lorde,"5'6""",Chicago,my grandpa,"Santorini, Greece",5.0,pizza,basketball,hors d'oeuvre,4,Less,1922,Difficult roads lead to beautiful destinations,,,,
8/28/2018 16:28:00,Queen,"my height, 5'8",Somewhere in Sweden or Italy (Venice),Julius Caesar,Italy,5.0,pizza,Curling (but baseball if you need a second answer),hors d'oeuvre,1,More,1813,"“Self-love, my liege, is not so vile a sin, as self-neglecting.” Henry V Act 2 Scene 3",,,,
8/28/2018 18:29:00,Daddy Yankee,5'11'',Seattle,Daddy Yankee,Puerto Rico,5.0,pizza,Soccer,hors d'oeuvre,3,More,1999,"""I would rather die on my feet than on my knees.""",,,,
8/28/2018 20:23:48,Florance and the Machine,6' exactly,"Sienna, Italy",Robin Williams,Japan,5.0,no opinion,Basketball,daiquiri,9,Less,"1,900,000 BC","A gentleman is someone who can play the accordian, but doesnt",,,,
8/30/2018 16:07:22,Nathaniel Radcliffe and the Night Sweats (folk),"5’ 9""",Seattle,My grandmother,Ireland,5.0,pizza,Baseball,daiquiri,5,Less,1925,Live every day like it’s your last,,,,
9/3/2018 14:50:47,taylor swift,5'9,melbourne,,Australia,4.0,pizza,soccer,hors d'oeuvre,4,More,1990s,I've failed over and over and over again in my life and that is why I succeed.,,,,
1/8/2019 16:12:21,Ed Sheeran ,5'6 ,"Sydney, Australia ",Abraham Lincoln,Bora Bora ,4.0,pizza,Football,hors d'oeuvre,3,Less,1970,"She believed she could, so she did.",,,,
1/8/2019 17:10:06,Kip Moore,"5'7""",Barcelona,Ruth Bader Ginsburg,Vietnam ,5.0,pizza,Hockey ,hors d'oeuvre,6,More,1922,Never let the fear of striking out keep you from playing the game  ,,,,
1/9/2019 11:31:06,Luke Combs ,5'10,Nashville ,Meghan Markle ,Tuscany Italy ,5.0,no opinion,Baseball ,hors d'oeuvre,3,Less,1925,"You are braver than you believe, stronger than you seem, smarter than you think, and loved more than you know",,,,
1/9/2019 14:16:30,Selena Gomez,5' 3'',"Toronto, Ontario",SANS,"London, United Kingdom",3.0,no opinion,Soccer,hors d'oeuvre,3,Less,1992,The best preparation for tomorrow is doing your best today. ,,,,
1/9/2019 14:24:02,,5' 8'',"Sydney, Australia",,Fiji,3.0,pizza,Hockey,hors d'oeuvre,3,Less,,She dreamed she could so she did.,,,,
1/9/2019 14:26:07,Tiesto,6’,Seattle,Einstein,Alps,5.0,casserole,Table tennis,hors d'oeuvre,5-7,Less,1400’s,The only true wisdom is in knowing you know nothing. ,,,,
1/9/2019 14:31:04,,5'6,"Sydney, Australia ",Meryl Streep ,Bora Bora,5.0,no opinion,,hors d'oeuvre,3,More,3000,It does not matter how slowly you go as long as you do not stop,,,,
1/9/2019 14:31:10,Toby Keith,5'8,"San Antonio, Texas",Great Grandma,Hawaii,5.0,pizza,Volleyball,hors d'oeuvre,3,Less,1900,"""Just do it""",,,,
1/9/2019 14:34:37,Dan + Shay,"6'2""","Boston, MA",Elon Musk,Amalfi Coast- Italy,3.0,pizza,Baseball,hors d'oeuvre,4,Less,2000,Do or do not. There is no try. ,,,,
1/9/2019 14:35:45,Beyoncé ,165cm,Tokyo,Hillary Clinton ,London,3.0,pizza,,hors d'oeuvre,2,Less,1945,Hard work beats talent when talent doesn’t work hard.,,,,
1/9/2019 14:43:05,Keri Hilson,5'4,"Paris, France",Andy Warhol ,"Barcelona, Spain ",5.0,pizza,Competitive Cheerleading ,hors d'oeuvre,4,More,2050 to see if we still exist or if the world is too hot to live in yet... ,“Leave it better than you found it.” –Bruce A. Nordstrom,,,,
1/9/2019 14:56:56,My Chemical Romance,"5'2""",Toronto,Rivers Cuomo,Japan,4.0,pizza,eSports,hors d'oeuvre,2,Less,6298,"""Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all."" - Emily Dickinson",,,,
1/9/2019 15:10:07,Drake,6 feet,San Francisco ,Jesus Christ,Hawaii,5.0,pizza,Football,hors d'oeuvre,6,Less,1985,"All our dreams can come true, if we have the courage to pursue them. – Walt Disney",,,,
1/9/2019 15:10:28,Hunter Hayes,5 feet 2 inches,New York City,my grandma,Bali,4.0,pizza,baseball,hors d'oeuvre,3,More,1955,"""It's kind of fun to do the impossible."" (Walt Disney)",,,,
1/9/2019 15:10:33,The Eagles,"6'2""",San Fransisco ,Dwyane Wade,New Zealand,5.0,pizza,Basketball,hors d'oeuvre,5,Less,2776,"“You don't become a runner by winning a morning workout. The only true way is to marshal the ferocity of your ambition over the course of many day, weeks, months, and (if you could finally come to accept it) years. The Trial of Miles; Miles of Trials.”",,,,
1/9/2019 15:16:24,Ariana Grande,5 ft 4 inch,Atlanta,Julia Child,"Seoul, South Korea",4.0,no opinion,,hors d'oeuvre,3,More,1997,Run toward your discomfort.,,,,
1/9/2019 15:17:01,Coldplay,6 ft,New York,Barack Obama,China,5.0,no opinion,Soccer,hors d'oeuvre,4,Less,1920,"The journey of a thousand miles begins with one step.
-Lao Tzu",,,,
1/9/2019 15:39:22,,5'10,Not sure but I like the North East,,Bora Bora,4.0,pizza,Baseball,daiquiri,4,Less,1980,This too shall pass,,,,
1/9/2019 16:03:06,Shouta Shimizu BTS,168cm,Tokyo,dead,Kyoto,2.0,casserole,Figure skating,hors d'oeuvre,4,More,2018,,,,,
1/9/2019 16:15:54,Thomas Rhett,"6'6""",Chicago,,Santorini,5.0,pizza,Golf,daiquiri,5,More,1950,"""Our greatest glory is not in never falling, but in rising every time we fall""",,,,
1/9/2019 16:19:59,Queen,"5'4""",New York,Lady Gaga,Germany,5.0,pizza,Diving,hors d'oeuvre,4,Less,1960,Grow through what you go through,,,,
1/9/2019 16:25:48,Kendrick Lamar,6’6,Chicago ,Augustus Caesar ,Brazil (Amazon Rain forest),5.0,pizza,Football,daiquiri,3,More,2176,"“It matters not how strait the gate, How charged with punishments the scroll, I am the master of my fate:
I am the captain of my soul.” -William Ernest Henley",,,,
1/9/2019 16:43:04,Florence and the Machine,"5'5""",New York City,Marie Curie,Norway,4.0,pizza,Basketball,hors d'oeuvre,4,Less,2050,“Creativity Is Intelligence Having Fun.” – Albert Einstein,,,,
1/9/2019 17:14:36,Travis Scott,"6'6""",Chicago,Mark Wahlberg,Greece,5.0,pizza,Golf,hors d'oeuvre,6,More,2020,,,,,
1/9/2019 17:52:30,Breaking Benjamin,"current height. 5'3""",New York City,Larry Page & Sergey Brin,Bora Bora,3.0,casserole,Soccer,hors d'oeuvre,3-4,More,2200,“Always work hard on something uncomfortably exciting.” ,,,,
1/9/2019 18:21:31,,6'0,San Diego,Yeezy,Italy,5.0,pizza,Hockey or Basketball,hors d'oeuvre,3,Less,1970,Just do it,,,,
1/10/2019 0:30:35,One OK Rock,6',Tokyo,,New Orleans,5.0,no opinion,,hors d'oeuvre,3,Less,,,,,,
1/13/2019 23:39:35,Hans Zimmer - Film Composer,"5' 9""",London (UK) OR Reykjavik (Iceland),Dietrich Bonhoeffer,Dubai,4.0,pizza,Rugby,daiquiri,3,More,882 AD,What you focus on grows. ,,,,
8/25/2019 20:44:56,Ohgeesy,5'11,San Luis Obispo,Trump,Japan,4.0,pizza,Dota 2,liasion,3,More,the earliest year possible,"Be yourself, everyone else is taken.",,,,
8/26/2019 10:27:12,Higher Brother,1.85M,Beijing,Xiaoping Deng,Washington DC,1.0,no opinion,Basketball,hors d'oeuvre,1,More,1930,Knock on doors as many as you can as you are here.--Dr. Jim Sikora,,,,
8/26/2019 11:39:46,Post Malone,6’2”,San Diego,Tiger Woods,Machu Picchu ,5.0,pizza,Football,hors d'oeuvre,4,More,2500,,,,,
8/26/2019 11:39:54,"Bob Dylan, Sam Smith, James Blunt and a bunch of others","Same as now - 5'5""",Singapore,Charles Bukowski,Moon,1.0,no opinion,,hors d'oeuvre,3,Less,1919,"I think, therefore I am.",,,,
8/26/2019 11:40:49,Cage the Elephant ,6 foot 9,Chicago,Robin Williams,Rome,5.0,pizza,Soccer,hors d'oeuvre,3 (4 including me),Less,1965,Pass,,,,
8/26/2019 13:00:42,Rosalia,tall,Tokyo,Ana Mendieta,Berlin,3.0,casserole,soccer,lieutenant,5,Less,2070,When in doubt... you'll likely stare at your phone screen,,,,
8/26/2019 13:25:05,Travis Scott,"6' 7""",Chicago,LeBron James,New Zealand,4.0,pizza,basketball,hors d'oeuvre,1,Less,2016,with great power comes great responsibility - Uncle Ben,,,,
8/26/2019 13:30:21,Kanye West,6 foot 5,New York City,JFK,Arctic,5.0,pizza,Basketball,hors d'oeuvre,4-6,More,3019,Be the change you want to see in the world,,,,
8/26/2019 13:35:01,All Time Low,"5'7""","Athens, Greece",Tina Fey,Ireland,5.0,pizza,Hockey,hors d'oeuvre,3,More,1985,"Be yourself, everyone else is already taken-Oscar Wilde",,,,
8/26/2019 13:35:12,"The Weeknd, Halsey, multiple EDM artists ",6'3'',Manchester,I have no clue (Yoda maybe?),Bali or a tour of Europe,5.0,pizza,Soccer (the real football),liasion,4-6,Less,1999,"be you, cos everyone else is already taken (idk who this is by)",,,,
8/26/2019 13:35:14,Odesza,5'8,"Cannes, France",My Great-Gramma,Bora Bora,5.0,no opinion,Football,accommodate,3,More,1960,"""Pain is temporary""",,,,
8/26/2019 13:35:24,Against me,"5'8""",Berlin,Laura Jane Grace,Somewhere in Spain,5.0,pizza,Dance,lieutenant,2,Less,1977,The best revenge is to be better,,,,
8/26/2019 13:36:14,the rolling stones,6'9,nashville,,Antarctica ,4.0,pizza,hockey,hors d'oeuvre,"depends, 4-6 is most comfortable though",More,1965,id rather surround myself with 10 lions than 100 sheep,,,,
8/26/2019 13:42:11,Lana Del Rey,5'6,Los Angeles,Blake Lively,Spain,5.0,pizza,Tennis,daiquiri,5,Less,1983,"""Push yourself, because nobody else is going to do it for you.""",,,,
8/26/2019 13:44:08,Tech N9ne,5'11,San Francisco,JFK,Antarctica,5.0,pizza,Soccer,daiquiri,4,More,1963,"""Winning isn't about beating your opponent; its about making sure you surprise them, and that they never surprise you.""",,,,
8/26/2019 13:55:16,Luke combs,5’8,Seattle,Rosa Parks,Hawaii,3.0,pizza,Basketball,hors d'oeuvre,6,Less,1992,"you live simple, you train hard, you live an honest life, then you are free",,,,
8/26/2019 14:25:23,Paul Simon,"6'3""",Seattle,Caesar,Rome,5.0,casserole,Lacrosse,hors d'oeuvre,3,More,2500,"Don't wait for opportunity, create it.",,,,
8/26/2019 15:04:01,Rnb,5 feet 5 inches,Seattle,My Grandpa on my mothers side,Thailand ,4.0,casserole,Baseball,hors d'oeuvre,3,More,1998,There are years that ask questions and years that answer. Zora Neale Hurston,,,,
8/26/2019 15:12:26,"To be completely honest, I don't really listen to music enough to have one. Sorry.","5'5""",Dublin,Catherine II the Great,The Netherlands,4.0,pizza,Poker,hors d'oeuvre,4 (including me),More,This one. The past is bad.,"""Courage is what it takes to stand up and speak out. Courage is also what it takes to sit down and listen.""",,,,
8/26/2019 15:25:23,Grateful Dead,My current height,Chicago,Mark Buehrle or Jerry Garcia,Italy,5.0,pizza,Baseball,hors d'oeuvre,4-5,Less,1965 or 1977,Constantly choosing the lesser of two evils is still choosing evil.,,,,
8/26/2019 15:38:38,Ray Charles,6' 4'',Buenos Aires,My grandfather,"Sydney, Australia ",5.0,pizza,Football,hors d'oeuvre,7,Less,1776,The people who are crazy enough to think they can change the world are the ones who do-Steve Jobs,,,,
8/26/2019 15:43:13,The Beatles,"5' 10""","Paris, France",John Muir,Stockholm Sweden ,4.0,casserole,Baseball,daiquiri,4,More,2050,"""Simplify. Simplify. Simplify"" - Henry David Thoreau ",,,,
8/26/2019 16:05:28,country,5'8',"Melbourne, Australia",J. R. R. Tolkien,Iceland,5.0,pizza,hockey,hors d'oeuvre,3,More,1879,A flower does not think of competing with the flower next to it. It just blooms        -Zen Shin,,,,
8/26/2019 16:07:25,Hiroyuki Namba,"My current height, 6'2""",Budapest,Marcus Tulius Cicero,Singapore,4.0,no opinion,Fencing,accommodate,4,More,1856,"It is no use painting the foot of the tree white, the strength of the bark cries out from beneath the paint. -Aimé Césaire",,,,
8/26/2019 17:39:46,Coldplay,"6'2""","Edinburgh, Scotland",Jesus Christ,"London, England",4.0,pizza,Football,hors d'oeuvre,4,Less,1700,"""Don't adventures ever have an end? I suppose not. Someone else always has to carry on the story."" -J. R. R. Tolkien",,,,
8/26/2019 18:57:30,Jason Mraz,5.5ft,Beijing,My dad,France,3.0,no opinion,basketball,hors d'oeuvre,4,Less,1999, It always seems impossible until it’s done.,,,,
8/26/2019 19:00:42,Beyonce,"5'5""","Freiburg, Germany",Trevor Noah,Singapore,4.0,casserole,Dance,hors d'oeuvre,3,More,2020,Let's never be the kind of people who do things lukewarmly. - David McCollough,,,,
8/26/2019 19:00:48,,,,,,,,,,,,,Let's never be the kind of people who do things lukewarmly. - David McCollough,,,,
8/26/2019 21:07:38,JSP,6'5,Paris,Chopin,Spain,4.0,no opinion,soccer,accommodate,2,Less,0,“You Learn More From Failure Than From Success. Don’t Let It Stop You. Failure Builds Character.” ,,,,
8/27/2019 17:34:08,"Bob Dylan, Sam Smith, James Blunt and a bunch of others","Same as now - 5'5""",Singapore,Charles Bukowski,Moon,1.0,no opinion,,hors d'oeuvre,3,Less,1919,"I think, therefore I am.",,,,
1/3/2020 23:34:47,Kenshi Yonezu,"5'3""","Sydney, Australia",Sean Miyashiro,Dubai,3.0,pizza,Volleyball and figure skating,hors d'oeuvre,one,Less,1920,Push yourself because no one else is gonna do it for you,,,,
1/6/2020 15:25:11,Jimmy Buffett,"6'04""",London,Sir Author Conan Doyle,"Maui, Hawaii",3.0,pizza,Football,hors d'oeuvre,5,Less,1984,"""There's a lot of blood, sweat, and guts between dreams and success.""-Bear Bryant",,,,
1/7/2020 13:32:04,,"6'1""",Denver,Elon Musk,Japan,4.0,pizza,Lacrosse,hors d'oeuvre,8,Less,3000,,,,,
1/8/2020 9:46:00,David Bowie,"5'6""",San Francisco,My paternal grandfather,London,5.0,no opinion,Roller Derby,hors d'oeuvre,2,Less,1976,"""I'm just an individual who doesn't feel that I need to have somebody qualify my work in any particular way. I'm working for me."" - Bowie",,,,
1/8/2020 11:44:10,Hozier,"5'8""",Amsterdam,Griffin McElroy ,Sweden,4.0,pizza,Baseball ,hors d'oeuvre,5-6,More,Sometime in the 1920s,Every day may not be a good day but there is good in every day.,,,,
1/8/2020 11:48:28,Luke Combs,"6'5""",Boulder Colorado,Abraham Lincoln,Iceland ,4.0,pizza,Football,hors d'oeuvre,10,Less,2121,"""Hardships often prepare ordinary people for an extraordinary destiny."" - C. S. Lewis",,,,
1/8/2020 13:32:27,Trippie Redd,6'3,Dubai,Trippe Redd,Italy,4.0,pizza,Football,daiquiri,6,Less,2286,"""Would you rather be feared or loved? Both. I want them to scared about how much they love me."" -Michael Scott",,,,
1/8/2020 13:35:11,Trippie Redd ,"6'2""","Arcola, IL ",Tiger Woods ,Aruba ,5.0,no opinion,Football,hors d'oeuvre,4,More,1970,"""Winning isn't everything, it's the only thing."" - Vince Lombardi ",,,,
1/8/2020 13:41:18,Lil Skies,6'4,Seattle,Genghis Khan,Dubai,5.0,pizza,Baseball,hors d'oeuvre,100,More,2000,Act as if what you do makes a difference. It does.,,,,
1/8/2020 13:45:05,The Beatles,6 foot 4 inches,"Paris, France",Nikola Tesla,Greece,5.0,casserole,Football,daiquiri,3,More,1965,"With the new day comes new strength and new thoughts.

Eleanor Roosevelt",,,,
1/8/2020 13:46:51,J balvin,6'3,Miami,Paul Walker,Europe,4.0,pizza,Football,hors d'oeuvre,1-6,More,1st year,"If you want to succeed, as bad as you want to breath. Then you will be successful ",,,,
1/8/2020 13:47:32,chance the rapper,"6' 1""",san diego,virgil abloh,Bahamas,5.0,casserole,football,lieutenant,3,More,1992,the best way to ruin something amazing is to compare it to something else,,,,
1/8/2020 13:49:18,Gorillaz,5'9,San Francisco,Chris Hemsworth,Cancun,4.0,pizza,Soccer,hors d'oeuvre,5,More,2008,"""Freedom is something you have to fight for, rather than something you're given. Being free means being prepared to carry that burden""",,,,
1/8/2020 14:58:24,Bille Eilish,"5'7""",San Francisco,My Grandmother,Hawaii,5.0,pizza,Horse-riding,hors d'oeuvre,3,Less,1984,It always seems impossible until it's done - Nelson Mandela,,,,
1/8/2020 15:12:06,Ariana Grande,i like being 5'4'',Boston,My dad,Thailand,5.0,pizza,soccer,hors d'oeuvre,3,Less,2018,"""Think like a  queen. A queen is not afraid to fail. Failure is another stepping stone to greatness."" -Oprah",,,,
1/8/2020 15:15:53,Shawn James,"6' 0""","Duluth, Minnesota",Keanu Reeves,Hawaii,5.0,pizza,Swimming,hors d'oeuvre,6,More,2222,"""Life is all about resolve. Outcome is secondary.""",,,,
1/8/2020 15:27:03,Rainbow Kitten Surprise,5'7,"Nashville, TN",Noam Chomsky,Spain,5.0,pizza,football,hors d'oeuvre,2,More,2030,"""I began to realize how important it was to be an enthusiast in life. If you are interested in something, no matter what it is, go at it full speed. Embrace it with both arms, hug it, love it, and above all become passionate about it. Lukewarm is no good."" Roald Dahl",,,,
1/8/2020 15:34:43,alternative rock,5'5,Laguna Beach,My sister,Vietnam,5.0,no opinion,Soccer ,hors d'oeuvre,4,Less,1910,When you feel like quitting think about why you started. ,,,,
1/8/2020 16:18:19,the Rippingtons,5'7,Makati,my dad,Samoa,4.0,pizza,basketball,hors d'oeuvre,1,Less,2012,"The simple things are also the most extraordinary things, and only the wise can see them.",,,,
1/8/2020 16:18:59,Drake,6 feet 3 inches,Paris,Abraham Lincoln,Hawaii,5.0,casserole,Football,daiquiri,3,Less,2100,"""You miss 100% of the shots you don't take"" -Wayne Gretzky",,,,
1/8/2020 16:38:32,Chance the Rapper or Ariana Grande,5'4,New York ,Oprah ,Greece ,5.0,pizza,Basketball,hors d'oeuvre,4,More,1994,"Don't Dream your life, Live your Dream ",,,,
1/8/2020 17:49:22,Kanye ,"5'7""","Barcelona, Spain",Barack Obama ,Antarctica,5.0,pizza,Football,hors d'oeuvre,3,More,1920,"Past and future obviously have no reality of their own. Just as the moon has no light of its own, but can only reflect the light of the sun, so are past and future only pale reflections of the light, power, and reality of the eternal present. Their reality is “borrowed” from the Now.",,,,
1/8/2020 22:02:39,Katy Perry,5'2,"Carrollton, Texas ",Mom ,"Canada, Taiwan, Korean, Vietnam, Hawaii, New York",4.0,pizza,Volleyball ,hors d'oeuvre,3,Less,2001,"Don’t cry because it’s over, smile because it happened. ― Dr. Seuss",,,,
1/9/2020 0:20:56,Hozier,5’6”,Copenhagen,Iris Apfel,Peru,5.0,no opinion,Soccer,lieutenant,3,Less,3000,“Sometimes you will never know the value of a moment until it becomes a memory”,,,,
1/9/2020 9:10:57,rap/ R&B,"5'11""","Dublin, Ireland",Karl Landsteiner,Greece,2.0,pizza,Basketball,hors d'oeuvre,4,More,1918,"""We cannot become what we want by remaining what we are"" - Max Depree",,,,
1/9/2020 19:26:26,Future,6 foot 3 inches,Chicago,Jesus,Italy,5.0,no opinion,Soccer,hors d'oeuvre,6,More,80's,you miss 100% of the shots you dont take,,,,
1/10/2020 10:31:06,Eminem ,6’4,New York,Micheal Jordan ,Argentina ,1.0,pizza,Football,hors d'oeuvre,Infinite,Less,1984,"The key to success is to focus on goals, not obstacles. ",,,,
8/16/2020 23:13:11,"Panic! at the Disco, but overall diverse music taste","5'6""","Probably Howell, MI or Bloomington, IL",My dad,Germany,4.0,no opinion,"I'm not a sports fan, unfortunately",hors d'oeuvre,"3-7, more is too crowded",More,Either 2001 or 1942,"Yesterday is history, tomorrow is a mystery, but today is a gift, that is why they call it the present.",,,,
8/17/2020 8:56:00,lil baby and red hot chili peppers ,6'6,tokyo or amsterdamn,Nelson Mandela or Dave Chappelle,ibeza,4.0,pizza,hockey,liasion,1-2,Less,1968,"The worst thing to call somebody is crazy. It's dismissive. ""I don't understand this person. So they're crazy."" That's bullshit. These people are not crazy. They strong people. Maybe their environment is a little sick.",,,,
8/17/2020 8:56:19,J Cole ,"6'4""",NYC,Morgan Freeman ,"Hawaii, Maui ",5.0,pizza,Lacrosse ,lieutenant,6,More,2100,"Ignorance brings chaos, not knowledge. ",,,,
8/17/2020 11:03:49,Mac Miller,6’4” (current height),Chicago,Mac Miller,Jamaica,5.0,pizza,Lacrosse or Hockey,lieutenant,4-5,More,1776,"“You miss 100% of the shots you don’t take” -Wayne Gretzky, the GOAT",,,,
8/17/2020 12:10:48,The Eagles,"6'5""",Seattle,Me from the future,The super clear ocean I forget what its called,4.0,pizza,Football,hors d'oeuvre,3,More,3000,"""With great power comes great responsibility"" ",,,,
8/17/2020 12:10:51,The Arcs,6'3,Seattle,Nikola Tesla,Rome,5.0,casserole,lacrosse,hors d'oeuvre,4,Less,3020,The secret of getting ahead is getting started.,,,,
8/17/2020 12:11:01,Kanye West ,"6'2""",Chicago ,My mom ,My hometown ,4.0,pizza,Soccer ,hors d'oeuvre,4-5,Less,2015,"""Never chase money or materials, chase excellence and the rest will follow"" - Aamir Khan in the movie 3 Idiots ",,,,
8/17/2020 12:11:26,Kenny Chesney,6'3,San Diego,FDR,Greece,4.0,pizza,Basketball,daiquiri,4,Less,1776,Our struggles determine our successes.,,,,
8/17/2020 12:11:36,Travis Scott,6 ft 2 inches,L.A,Great great great grandparent (whoever that is),Cancun,4.0,no opinion,Soccer,hors d'oeuvre,7,More,1999,"""The purpose of our lives is to be happy""",,,,
